irmode,phase,duration,was_cached,test
numba-cache,0,4.386100044939667e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,7.005200313869864e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,4.902899672742933e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,3.3873002394102514e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,3.226700937375426e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,0.0005613200046354,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,3.345400909893215e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,6.250900332815945e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,4.867999814450741e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,4.190499021206051e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,3.527000080794096e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,3.219800419174135e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,0.0022504460066556,1,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,8.499699470121413e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,0.3374015180015703,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,4.630500916391611e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,7.968999852892011e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,7.466100214514881e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,0,0.5053071970032761,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-cache,1,0.0590667619981104,1,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.0247167289926437,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,4.015900776721537e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.040502739007934,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,4.4419997720979154e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.0343055720004485,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,3.918200673069805e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.0197719719872111,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,9.323999984189868e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,8.849000732880086e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,3.296499198768288e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,4.092699964530766e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.0370244579971767,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,4.036900645587593e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.0355470859940396,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,4.071799048688263e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,0.0429676089988788,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
numba-nocache,0,3.897199349012226e-05,0,numba.tests.test_unicode.TestUnicode.test_slice2_error
